YEAR,Filename,ORG_TYPE_DESCRIPTION,ORG_CODE,NEW_CODE,ORG_TITLE,SEX_CODE,OBS,DSR,LOWER,UPPER
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","31","E10000018","Leicestershire CC",M,355,42.16,37.77,46.91
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","32","E10000019","Lincolnshire CC",M,555,52.38,48.01,57.04
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","33","E10000020","Norfolk CC",M,745,53.68,49.83,57.74
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","34","E10000021","Northamptonshire CC",M,375,49.43,44.43,54.83
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","36","E10000023","North Yorkshire CC",M,430,49.18,44.55,54.16
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","37","E10000024","Nottinghamshire CC",M,505,50.66,46.23,55.39
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","38","E10000025","Oxfordshire CC",M,380,47.38,42.7,52.43
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","40","E10000027","Somerset CC",M,405,46.99,42.47,51.87
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","41","E10000028","Staffordshire CC",M,540,48.39,44.26,52.8
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","42","E10000029","Suffolk CC",M,555,50.97,46.77,55.44
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","43","E10000030","Surrey CC",M,650,43.8,40.47,47.33
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","44","E10000031","Warwickshire CC",M,300,42.05,37.35,47.17
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","45","E10000032","West Sussex CC",M,640,51.01,47.1,55.16
2017,18B_148DR00++,"COUNTIES (boundaries as of April 2009)","47","E10000034","Worcestershire CC",M,380,47.84,43.04,53.01
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AA","E09000001","City of London LB",M,5,,,
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AB","E09000002","Barking and Dagenham LB",M,60,45.96,34.73,59.6
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AC","E09000003","Barnet LB",M,120,32.83,27.17,39.32
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AD","E09000004","Bexley LB",M,140,56.54,47.43,66.88
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AE","E09000005","Brent LB",M,100,41.18,33.23,50.41
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AF","E09000006","Bromley LB",M,185,49.76,42.77,57.56
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AG","E09000007","Camden LB",M,70,35.61,27.57,45.25
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AH","E09000008","Croydon LB",M,140,42.49,35.64,50.25
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AJ","E09000009","Ealing LB",M,105,38.96,31.81,47.22
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AK","E09000010","Enfield LB",M,110,39.13,32.06,47.27
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AL","E09000011","Greenwich LB",M,80,45.3,35.83,56.46
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AM","E09000012","Hackney LB",M,65,49.17,37.58,63.13
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AN","E09000013","Hammersmith and Fulham LB",M,55,48.52,36.43,63.27
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AP","E09000014","Haringey LB",M,70,46,35.51,58.53
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AQ","E09000015","Harrow LB",M,90,34.98,28.15,42.95
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AR","E09000016","Havering LB",M,155,54.3,45.97,63.69
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AS","E09000017","Hillingdon LB",M,95,34.3,27.61,42.09
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AT","E09000018","Hounslow LB",M,80,43.63,34.17,54.79
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AU","E09000019","Islington LB",M,70,52.38,40.41,66.73
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AW","E09000020","Kensington and Chelsea LB",M,45,29.53,21.49,39.59
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AX","E09000021","Kingston upon Thames LB",M,70,47.77,37.3,60.26
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AY","E09000022","Lambeth LB",M,85,49.08,39.03,60.88
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00AZ","E09000023","Lewisham LB",M,85,49.32,39.12,61.31
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BA","E09000024","Merton LB",M,90,55.92,44.64,69.14
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BB","E09000025","Newham LB",M,75,50.51,39.53,63.53
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BC","E09000026","Redbridge LB",M,80,32.96,26.01,41.17
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BD","E09000027","Richmond upon Thames LB",M,70,38.65,30.1,48.84
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BE","E09000028","Southwark LB",M,75,44.37,34.63,55.96
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BF","E09000029","Sutton LB",M,90,46.93,37.43,58.07
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BG","E09000030","Tower Hamlets LB",M,40,34.31,24.24,47.07
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BH","E09000031","Waltham Forest LB",M,75,41.37,32.34,52.09
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BJ","E09000032","Wandsworth LB",M,75,40.33,31.4,50.95
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BK","E09000033","Westminster LB",M,55,27.45,20.61,35.82
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BL","E08000001","Bolton MCD",M,140,47.76,39.95,56.62
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BM","E08000002","Bury MCD",M,90,44.05,35.17,54.44
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BN","E08000003","Manchester MCD",M,160,50.8,43,59.57
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BP","E08000004","Oldham MCD",M,120,53.32,43.94,64.07
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BQ","E08000005","Rochdale MCD",M,110,54.39,44.44,65.84
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BR","E08000006","Salford MCD",M,95,40.42,32.46,49.7
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BS","E08000007","Stockport MCD",M,170,46.89,39.97,54.66
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BT","E08000008","Tameside MCD",M,110,51.93,42.27,63.06
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BU","E08000009","Trafford MCD",M,115,45.63,37.62,54.82
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BW","E08000010","Wigan MCD",M,150,44.73,37.36,53.05
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BX","E08000011","Knowsley MCD",M,75,48.93,38.23,61.6
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BY","E08000012","Liverpool MCD",M,210,48.09,41.55,55.32
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00BZ","E08000013","St. Helens MCD",M,110,51.39,41.64,62.63
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CA","E08000014","Sefton MCD",M,210,54.02,46.75,62.08
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CB","E08000015","Wirral MCD",M,200,47.53,41.05,54.73
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CC","E08000016","Barnsley MCD",M,110,38.37,31.22,46.62
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CE","E08000017","Doncaster MCD",M,180,52.06,44.54,60.45
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CF","E08000018","Rotherham MCD",M,145,47.96,40.19,56.75
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CG","E08000019","Sheffield MCD",M,270,44.71,39.5,50.42
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CH","E08000037","Gateshead MCD",M,115,46.12,37.72,55.77
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CJ","E08000021","Newcastle upon Tyne MCD",M,120,43.13,35.67,51.67
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CK","E08000022","North Tyneside MCD",M,135,54.89,45.71,65.33
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CL","E08000023","South Tyneside MCD",M,115,65.27,53.41,78.91
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CM","E08000024","Sunderland MCD",M,150,48.07,40.21,56.94
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CN","E08000025","Birmingham MCD",M,435,45.27,41.03,49.82
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CQ","E08000026","Coventry MCD",M,160,49.53,42.07,57.92
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CR","E08000027","Dudley MCD",M,190,48.42,41.5,56.12
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CS","E08000028","Sandwell MCD",M,145,49.56,41.56,58.61
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CT","E08000029","Solihull MCD",M,130,45.52,37.97,54.11
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CU","E08000030","Walsall MCD",M,155,48.05,40.56,56.49
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CW","E08000031","Wolverhampton MCD",M,155,53.22,45.01,62.49
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CX","E08000032","Bradford MCD",M,230,48.17,42.03,54.94
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CY","E08000033","Calderdale MCD",M,115,56.88,46.63,68.64
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00CZ","E08000034","Kirklees MCD",M,225,51.13,44.42,58.54
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00DA","E08000035","Leeds MCD",M,385,52.78,47.5,58.47
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00DB","E08000036","Wakefield MCD",M,190,49.35,42.39,57.1
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00EB","E06000001","Hartlepool UA",M,50,49.64,36.38,65.98
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00EC","E06000002","Middlesbrough UA",M,80,60.27,46.96,75.99
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00EE","E06000003","Redcar and Cleveland UA",M,80,44.94,35.31,56.31
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00EF","E06000004","Stockton-on-Tees UA",M,85,39.72,31.52,49.35
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00EH","E06000005","Darlington UA",M,75,56.06,43.74,70.73
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00EJ","E06000047","County Durham UA",M,315,51.08,45.4,57.26
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00EM","E06000057","Northumberland UA",M,220,47.14,40.98,53.96
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00EQ","E06000049","Cheshire East UA",M,265,48.01,42.33,54.23
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00ET","E06000006","Halton UA",M,65,46.24,34.87,59.96
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00EU","E06000007","Warrington UA",M,110,51.3,41.83,62.19
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00EW","E06000050","Cheshire West and Chester UA",M,220,49.23,42.8,56.33
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00EX","E06000008","Blackburn with Darwen UA",M,55,44.01,32.21,58.49
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00EY","E06000009","Blackpool UA",M,95,54.32,43.59,66.83
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00FA","E06000010","Kingston upon Hull, City of UA",M,130,56.49,46.79,67.54
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00FB","E06000011","East Riding of Yorkshire UA",M,265,50.69,44.58,57.39
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00FC","E06000012","North East Lincolnshire UA",M,115,54.96,45.12,66.27
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00FD","E06000013","North Lincolnshire UA",M,110,51.61,42.13,62.53
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00FF","E06000014","York UA",M,120,49.51,40.93,59.34
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00FK","E06000015","Derby UA",M,140,52.23,43.83,61.74
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00FN","E06000016","Leicester UA",M,95,36.86,29.68,45.22
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00FP","E06000017","Rutland UA",M,30,53.82,36.53,76.34
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00FY","E06000018","Nottingham UA",M,110,47.4,38.79,57.31
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00GA","E06000019","Herefordshire, County of UA",M,135,46.98,39.11,55.92
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00GF","E06000020","Telford and Wrekin UA",M,85,50.09,39.42,62.63
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00GG","E06000051","Shropshire UA",M,220,47.1,40.9,53.96
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00GL","E06000021","Stoke-on-Trent UA",M,120,48.16,39.46,58.13
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00HA","E06000022","Bath and North East Somerset UA",M,110,48.43,39.71,58.48
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00HB","E06000023","Bristol, City of UA",M,185,48.08,41.35,55.58
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00HC","E06000024","North Somerset UA",M,160,51.72,43.95,60.46
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00HD","E06000025","South Gloucestershire UA",M,155,46.81,39.55,55
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00HE & 00HF","E06000052 & E06000053","Cornwall UA & Isles of Scilly UA",M,460,55.57,50.48,61.01
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00HG","E06000026","Plymouth UA",M,150,51.1,43.16,60.07
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00HH","E06000027","Torbay UA",M,105,48.82,39.95,59.06
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00HN","E06000028","Bournemouth UA",M,120,48.03,39.76,57.52
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00HP","E06000029","Poole UA",M,120,53.12,43.98,63.6
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00HX","E06000030","Swindon UA",M,105,48.31,39.42,58.59
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00HY","E06000054","Wiltshire UA",M,330,51.31,45.83,57.26
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00JA","E06000031","Peterborough UA",M,90,49.62,39.86,61.03
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00KA","E06000032","Luton UA",M,100,55.56,44.96,67.87
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00KB","E06000055","Bedford UA",M,90,46.98,37.59,57.96
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00KC","E06000056","Central Bedfordshire UA",M,155,51.45,43.45,60.47
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00KF","E06000033","Southend-on-Sea UA",M,115,52.3,43.18,62.77
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00KG","E06000034","Thurrock UA",M,80,56.49,44.46,70.69
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00LC","E06000035","Medway UA",M,120,50.39,41.4,60.68
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00MA","E06000036","Bracknell Forest UA",M,50,44.69,32.82,59.38
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00MB","E06000037","West Berkshire UA",M,75,44.31,34.75,55.64
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00MC","E06000038","Reading UA",M,60,45.8,34.9,58.98
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00MD","E06000039","Slough UA",M,45,51.48,37.47,68.92
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00ME","E06000040","Windsor and Maidenhead UA",M,80,44.42,35.21,55.28
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00MF","E06000041","Wokingham UA",M,95,54.72,44.03,67.17
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00MG","E06000042","Milton Keynes UA",M,90,43.62,34.8,53.95
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00ML","E06000043","Brighton and Hove UA",M,90,34.63,27.72,42.73
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00MR","E06000044","Portsmouth UA",M,95,50.01,40.33,61.29
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00MS","E06000045","Southampton UA",M,90,42.44,33.93,52.43
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","00MW","E06000046","Isle of Wight UA",M,110,45.14,36.95,54.59
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","11UB","E07000004","Aylesbury Vale CD",M,95,49.32,39.54,60.73
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","11UC","E07000005","Chiltern CD",M,65,50.11,38.73,63.75
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","11UE","E07000006","South Bucks CD",M,40,38.51,27.11,53.05
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","11UF","E07000007","Wycombe CD",M,90,43.18,34.55,53.28
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","12UB","E07000008","Cambridge CD",M,55,49.7,37.49,64.61
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","12UC","E07000009","East Cambridgeshire CD",M,40,39.85,28.29,54.44
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","12UD","E07000010","Fenland CD",M,80,54.72,43.04,68.55
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","12UE","E07000011","Huntingdonshire CD",M,110,52.74,43.07,63.91
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","12UG","E07000012","South Cambridgeshire CD",M,95,49.82,40.06,61.21
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","16UB","E07000026","Allerdale CD",M,65,48.07,36.54,61.99
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","16UC","E07000027","Barrow-in-Furness CD",M,40,46.6,32.18,64.96
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","16UD","E07000028","Carlisle CD",M,80,54.27,43.02,67.54
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","16UE","E07000029","Copeland CD",M,35,39.65,27.07,55.79
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","16UF","E07000030","Eden CD",M,35,43.74,30.3,60.97
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","16UG","E07000031","South Lakeland CD",M,75,43.38,34.08,54.4
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","17UB","E07000032","Amber Valley CD",M,70,40.97,31.67,52.1
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","17UC","E07000033","Bolsover CD",M,55,59.97,44.27,79.16
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","17UD","E07000034","Chesterfield CD",M,60,48.86,37.17,62.99
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","17UF","E07000035","Derbyshire Dales CD",M,55,48.86,36.77,63.6
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","17UG","E07000036","Erewash CD",M,60,42.23,32.13,54.47
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","17UH","E07000037","High Peak CD",M,55,48.26,35.56,63.84
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","17UJ","E07000038","North East Derbyshire CD",M,85,55.01,43.57,68.48
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","17UK","E07000039","South Derbyshire CD",M,50,42.35,30.78,56.7
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","18UB","E07000040","East Devon CD",M,155,53.2,45.08,62.34
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","18UC","E07000041","Exeter CD",M,70,55.84,43.29,70.85
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","18UD","E07000042","Mid Devon CD",M,55,45.17,33.67,59.29
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","18UE","E07000043","North Devon CD",M,75,47.73,37.32,60.11
2017,18B_148DR00++,"LOCAL AUTHORITIES (boundaries as of April 2009)","18UG","E07000044","South Hams CD",M,70,50.33,39.09,63.74
