Clinical Commissioning Group Name (2015),Health Deprivation and Disability - Average rank,Health Deprivation and Disability - Rank of average rank,Health Deprivation and Disability - Average score,Health Deprivation and Disability - Rank of average score,Health Deprivation and Disability - Proportion of LSOAs in most deprived 10% nationally,Health Deprivation and Disability - Rank of proportion of LSOAs in most deprived 10% nationally,Clinical Commissioning Group Code (2015)
NHS Croydon CCG,14879.6,123,-0.134,124,0.0136,134,E38000040
NHS Cumbria CCG,18830.16,82,0.256,79,0.1698,44,E38000041
NHS Darlington CCG,21918.37,49,0.502,47,0.2,37,E38000042
"NHS Dartford, Gravesham and Swanley CCG",10903.34,166,-0.475,164,0.0065,149,E38000043
NHS Doncaster CCG,23396.09,35,0.593,36,0.1701,43,E38000044
NHS Dorset CCG,12815.26,139,-0.311,140,0.0265,110,E38000045
NHS Dudley CCG,18261.93,86,0.145,89,0.0299,108,E38000046
"NHS Durham Dales, Easington and Sedgefield CCG",26291.99,13,0.937,16,0.4246,11,E38000047
NHS Ealing CCG,15766.83,116,-0.067,118,0.0051,153,E38000048
NHS East and North Hertfordshire CCG,9048.73,177,-0.683,180,0.003,157,E38000049
NHS East Lancashire CCG,23999.14,28,0.715,26,0.3115,24,E38000050
NHS East Leicestershire and Rutland CCG,8507.46,183,-0.667,179,0,158,E38000051
NHS East Riding of Yorkshire CCG,11207.05,161,-0.428,158,0.0254,113,E38000052
NHS East Staffordshire CCG,15688.33,118,-0.061,117,0.026,112,E38000053
NHS East Surrey CCG,7514.55,190,-0.827,191,0,158,E38000054
"NHS Eastbourne, Hailsham and Seaford CCG",15358.72,120,-0.103,122,0.0263,111,E38000055
NHS Eastern Cheshire CCG,12040.81,153,-0.389,153,0.0246,114,E38000056
NHS Enfield CCG,12696.21,141,-0.319,143,0,158,E38000057
NHS Erewash CCG,16330.68,112,-0.007,110,0.0161,127,E38000058
NHS Fareham and Gosport CCG,11427.37,159,-0.433,159,0.0079,145,E38000059
NHS Fylde & Wyre CCG,20279.85,67,0.326,67,0.1091,69,E38000060
NHS Gloucestershire CCG,11484.72,158,-0.419,157,0.0188,122,E38000062
NHS Great Yarmouth and Waveney CCG,20725.32,59,0.385,57,0.1343,56,E38000063
NHS Greater Huddersfield CCG,17193.99,105,0.07,106,0.0417,100,E38000064
NHS Greater Preston CCG,21281.82,56,0.484,49,0.2266,31,E38000065
NHS Greenwich CCG,18539.97,84,0.15,88,0,158,E38000066
NHS Halton CCG,26032.05,16,0.964,13,0.4684,8,E38000068
"NHS Hambleton, Richmondshire and Whitby CCG",10931.62,165,-0.471,163,0.0105,140,E38000069
NHS Hammersmith and Fulham CCG,19364.54,77,0.223,80,0.0354,104,E38000070
NHS Hardwick CCG,23081.81,41,0.536,45,0.1,72,E38000071
NHS Haringey CCG,17947.77,95,0.098,99,0.0069,148,E38000072
NHS Harrogate and Rural District CCG,8333.7,185,-0.714,182,0.0096,142,E38000073
NHS Harrow CCG,7273.8,193,-0.796,190,0,158,E38000074
NHS Hartlepool and Stockton-on-Tees CCG,23207.95,39,0.672,28,0.2753,27,E38000075
NHS Hastings and Rother CCG,18215.21,87,0.168,84,0.0991,73,E38000076
NHS Havering CCG,12095.32,152,-0.357,149,0,158,E38000077
NHS Herefordshire CCG,12368.59,149,-0.328,145,0.0086,144,E38000078
NHS Herts Valleys CCG,8622.11,182,-0.781,189,0,158,E38000079
"NHS Heywood, Middleton and Rochdale CCG",26402.19,12,0.94,15,0.3209,22,E38000080
NHS High Weald Lewes Havens CCG,7431.49,191,-0.834,193,0,158,E38000081
NHS Hillingdon CCG,13471.2,133,-0.248,133,0,158,E38000082
NHS Horsham and Mid Sussex CCG,4231.15,206,-1.235,204,0,158,E38000083
NHS Hounslow CCG,14177.82,128,-0.183,128,0,158,E38000084
NHS Hull CCG,24084.94,27,0.7,27,0.259,28,E38000085
NHS Ipswich and East Suffolk CCG,11820.92,155,-0.401,154,0.021,121,E38000086
NHS Isle of Wight CCG,17861.43,96,0.096,100,0,158,E38000087
NHS Islington CCG,22988.05,43,0.519,46,0.0488,95,E38000088
NHS Kernow CCG,17606.91,97,0.093,101,0.0398,101,E38000089
NHS Kingston CCG,4967.69,201,-1.104,201,0,158,E38000090
NHS Knowsley CCG,29352.79,4,1.4,4,0.6429,3,E38000091
NHS Lambeth CCG,19135.95,81,0.199,83,0.0337,105,E38000092
NHS Lancashire North CCG,21337.08,55,0.458,51,0.202,36,E38000093
NHS Leeds North CCG,17431.51,100,0.137,92,0.1742,39,E38000094
NHS Leeds South and East CCG,24748.58,22,0.764,24,0.3226,21,E38000095
NHS Leeds West CCG,20719.93,60,0.375,60,0.1333,57,E38000096
NHS Leicester City CCG,22809.55,45,0.554,40,0.1667,45,E38000097
NHS Lewisham CCG,19282.76,79,0.207,82,0.0118,139,E38000098
NHS Lincolnshire East CCG,21745.6,51,0.446,53,0.145,51,E38000099
NHS Lincolnshire West CCG,19320.9,78,0.267,76,0.1533,48,E38000100
NHS Liverpool CCG,29027,5,1.413,3,0.6309,4,E38000101
NHS Luton CCG,20368.42,65,0.317,69,0.0331,107,E38000102
NHS Mansfield and Ashfield CCG,22874.74,44,0.547,41,0.1488,49,E38000103
NHS Medway CCG,16052.21,113,-0.034,113,0.0245,115,E38000104
NHS Merton CCG,9331.39,175,-0.642,178,0,158,E38000105
NHS Mid Essex CCG,8252.94,187,-0.712,181,0,158,E38000106
NHS Milton Keynes CCG,15301.73,121,-0.083,119,0.0385,102,E38000107
NHS Nene CCG,14007.58,129,-0.215,129,0.0457,96,E38000108
NHS Newark & Sherwood CCG,15437.82,119,-0.098,120,0,158,E38000109
NHS Newbury and District CCG,4475.97,205,-1.218,202,0,158,E38000110
NHS Newham CCG,20056.05,69,0.261,77,0.0122,137,E38000113
NHS North & West Reading CCG,5933.17,199,-1.015,199,0,158,E38000114
NHS North Derbyshire CCG,17529.12,98,0.116,96,0.1086,70,E38000115
NHS North Durham CCG,23235.37,37,0.571,38,0.1724,40,E38000116
NHS North East Essex CCG,18139.91,88,0.151,87,0.0515,94,E38000117
NHS North East Hampshire and Farnham CCG,8869.16,180,-0.777,187,0.0154,128,E38000118
NHS North East Lincolnshire CCG,18668.95,83,0.207,81,0.1038,71,E38000119
NHS North Hampshire CCG,8860.63,181,-0.728,184,0,158,E38000120
NHS North Kirklees CCG,21044.65,57,0.377,59,0.0696,87,E38000121
NHS North Lincolnshire CCG,18078.2,91,0.143,90,0.0693,89,E38000122
NHS North Manchester CCG,30127.38,1,1.525,1,0.6979,1,E38000123
NHS North Norfolk CCG,11197.71,162,-0.418,156,0,158,E38000124
NHS North Somerset CCG,13296.46,134,-0.223,130,0.0741,85,E38000125
NHS North Staffordshire CCG,17370.42,104,0.084,104,0.0448,97,E38000126
NHS North Tyneside CCG,22490.8,47,0.538,44,0.2137,34,E38000127
NHS North West Surrey CCG,7363.47,192,-0.834,192,0,158,E38000128
"NHS Northern, Eastern and Western Devon CCG",15791.47,115,-0.037,114,0.0837,80,E38000129
NHS Northumberland CCG,18051.07,92,0.16,85,0.0812,81,E38000130
NHS Norwich CCG,18126.72,90,0.156,86,0.123,59,E38000131
NHS Nottingham City CCG,25878.16,17,0.857,19,0.3462,18,E38000132
NHS Nottingham North and East CCG,15759.57,117,-0.058,115,0.0104,141,E38000133
NHS Nottingham West CCG,12274.16,150,-0.347,148,0,158,E38000134
NHS Oldham CCG,24259.74,25,0.72,25,0.2837,26,E38000135
NHS Oxfordshire CCG,8329.8,186,-0.744,185,0.005,155,E38000136
NHS Portsmouth CCG,19970,73,0.311,72,0.112,67,E38000137
NHS Redbridge CCG,11788.79,156,-0.373,151,0,158,E38000138
NHS Redditch and Bromsgrove CCG,13547.46,131,-0.256,134,0.0442,98,E38000139
NHS Richmond CCG,3493.84,207,-1.41,207,0,158,E38000140
NHS Rotherham CCG,23739.25,31,0.642,33,0.2096,35,E38000141
NHS Rushcliffe CCG,6393.58,197,-0.926,196,0,158,E38000142
NHS Salford CCG,27271.11,8,1.124,8,0.4667,9,E38000143
NHS Sandwell and West Birmingham CCG,24499.5,24,0.658,30,0.1151,64,E38000144
NHS Scarborough and Ryedale CCG,17407,102,0.085,103,0.087,79,E38000145
NHS Sheffield CCG,20751.82,58,0.397,56,0.2145,33,E38000146
NHS Shropshire CCG,12677.34,142,-0.296,138,0.0052,152,E38000147
NHS Slough CCG,15889.27,114,-0.059,116,0,158,E38000148
NHS Solihull CCG,11124.49,163,-0.484,165,0.0149,130,E38000149
NHS Somerset CCG,13294.61,135,-0.263,135,0.0122,136,E38000150
NHS South Cheshire CCG,14584.95,125,-0.131,123,0.0536,93,E38000151
NHS South Devon and Torbay CCG,18022.66,93,0.141,91,0.0663,90,E38000152
NHS South East Staffordshire and Seisdon Peninsular CCG,12672.11,143,-0.322,144,0.0145,133,E38000153
NHS South Eastern Hampshire CCG,12958.77,137,-0.309,139,0.0226,117,E38000154
NHS South Gloucestershire CCG,6878.12,196,-0.857,195,0,158,E38000155
NHS South Kent Coast CCG,16352.11,111,-0.011,111,0,158,E38000156
NHS South Lincolnshire CCG,12561.44,145,-0.318,141,0.0119,138,E38000157
NHS South Manchester CCG,29002.17,6,1.38,5,0.5895,5,E38000158
NHS South Norfolk CCG,10771.44,168,-0.448,160,0,158,E38000159
NHS South Reading CCG,14695.95,124,-0.156,125,0,158,E38000160
NHS South Sefton CCG,25174.72,21,0.86,18,0.3604,17,E38000161
NHS South Tees CCG,25873.3,18,0.976,12,0.431,10,E38000162
NHS South Tyneside CCG,26740.23,10,0.944,14,0.402,14,E38000163
NHS South Warwickshire CCG,10775.51,167,-0.47,162,0,158,E38000164
NHS South West Lincolnshire CCG,12021.95,154,-0.361,150,0,158,E38000165
NHS South Worcestershire CCG,12500.91,146,-0.319,142,0.0269,109,E38000166
NHS Southampton CCG,22419.24,48,0.498,48,0.1486,50,E38000167
NHS Southend CCG,17428.14,101,0.093,102,0.0935,76,E38000168
NHS Southern Derbyshire CCG,17142.97,106,0.075,105,0.0796,82,E38000169
NHS Southport and Formby CCG,21791.29,50,0.456,52,0.141,52,E38000170
NHS Southwark CCG,19999.57,71,0.258,78,0.0241,116,E38000171
NHS St Helens CCG,26513.78,11,0.998,11,0.3866,15,E38000172
NHS Stafford and Surrounds CCG,12815.46,138,-0.283,136,0.0217,119,E38000173
NHS Stockport CCG,20051.35,70,0.365,62,0.1368,55,E38000174
NHS Stoke on Trent CCG,26172.41,15,0.903,17,0.3659,16,E38000175
NHS Sunderland CCG,26942.02,9,1.007,10,0.4108,13,E38000176
NHS Surrey Downs CCG,4620.21,203,-1.229,203,0,158,E38000177
NHS Surrey Heath CCG,5869.05,200,-1.064,200,0,158,E38000178
NHS Sutton CCG,11013.68,164,-0.461,161,0.0165,126,E38000179
NHS Swale CCG,17378.23,103,0.102,98,0.0909,78,E38000180
NHS Swindon CCG,14331.03,126,-0.166,126,0.0147,131,E38000181
NHS Tameside and Glossop CCG,25261.51,20,0.828,21,0.2963,25,E38000182
NHS Telford and Wrekin CCG,21542.65,53,0.42,55,0.1111,68,E38000183
NHS Thanet CCG,20339.02,66,0.353,64,0.119,61,E38000184
NHS Thurrock CCG,12443.42,147,-0.33,146,0,158,E38000185
NHS Tower Hamlets CCG,23257.32,36,0.543,42,0.0694,88,E38000186
NHS Trafford CCG,16418.75,110,0.004,109,0.058,92,E38000187
NHS Vale of York CCG,9187.92,176,-0.623,175,0.0146,132,E38000188
NHS Vale Royal CCG,17521.27,99,0.104,97,0.0625,91,E38000189
NHS Wakefield CCG,23817.31,29,0.655,31,0.2344,30,E38000190
NHS Walsall CCG,21585.7,52,0.42,54,0.0778,84,E38000191
NHS Waltham Forest CCG,18271.32,85,0.124,95,0,158,E38000192
NHS Wandsworth CCG,12562.46,144,-0.335,147,0.0056,151,E38000193
NHS Warrington CCG,20069.68,68,0.352,65,0.1654,46,E38000194
NHS Warwickshire North CCG,17955.34,94,0.125,94,0.0336,106,E38000195
NHS West Cheshire CCG,16486.36,108,0.044,107,0.1149,65,E38000196
NHS West Essex CCG,10765.74,169,-0.566,173,0,158,E38000197
NHS West Hampshire CCG,7212.7,194,-0.846,194,0,158,E38000198
NHS West Kent CCG,7959.43,189,-0.774,186,0,158,E38000199
NHS West Lancashire CCG,20533.55,63,0.341,66,0.0959,74,E38000200
NHS West Leicestershire CCG,10429.53,170,-0.509,168,0.0044,156,E38000201
NHS West London CCG,12771.75,140,-0.563,172,0.0073,147,E38000202
NHS West Norfolk CCG,20441.46,64,0.319,68,0.0784,83,E38000203
NHS West Suffolk CCG,11724.71,157,-0.382,152,0,158,E38000204
NHS Wigan Borough CCG,23639.69,34,0.653,32,0.25,29,E38000205
NHS Wiltshire CCG,9904.26,173,-0.546,170,0,158,E38000206
"NHS Windsor, Ascot and Maidenhead CCG",4615,204,-1.261,206,0,158,E38000207
NHS Wirral CCG,24211.93,26,0.818,22,0.3301,19,E38000208
NHS Wokingham CCG,1562.81,209,-1.812,209,0,158,E38000209
NHS Wolverhampton CCG,23120.54,40,0.538,43,0.0949,75,E38000210
NHS Wyre Forest CCG,15155.72,122,-0.103,121,0.0154,128,E38000211
NHS Newcastle Gateshead CCG,24645.94,23,0.778,23,0.3256,20,E38000212
NHS Coastal West Sussex CCG,13802.56,130,-0.235,132,0.0166,125,E38000213
NHS Guildford and Waverley CCG,4743.48,202,-1.236,205,0,158,E38000214
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
